Name,Genre,Subgenre,Platform,Start Date,Finish Date,Season,Runtime,Rewatch,IMDB Rating
Upload,Comedy,Science Fiction,Amazon,,April,2,229,FALSE,
Severance,Drama,Science Fiction,Apple,,April,,353,FALSE,
Abbott Elementary,Comedy,,ABC,,April,,506,FALSE,
Ted Lasso,Comedy,Drama,Apple,,April,,279,FALSE,
The Devil is a Part-Timer,Anime,,Hulu,,March,,650,FALSE,
Grownish,Comedy,,Hulu,,March,4,396,FALSE,
How I Met Your Father,Comedy,,Hulu,,March,,720,FALSE,
The Afterparty,Comedy,,Apple,,March,,630,FALSE,
How to Make it in America,Comedy,Drama,HBO,,February,,432,FALSE,
Demon Slayer Entertainment District,Anime,,Hulu,,February,,1056,FALSE,
Euphoria,Drama,,HBO,,February,2,472,FALSE,
Pen15,Comedy,,Hulu,,January,,750,FALSE,
Bojack Horseman,Comedy,Drama ,Netflix,,January,,1925,FALSE,
Sex Lives of College Girls,Comedy,,HBO,,December,2,440,TRUE,
White Lotus,Comedy,Drama,HBO,,December,2,378,FALSE,
One Tree Hill,Drama,,HBO,,December,3,924,TRUE,
One Tree Hill,Drama,,HBO,,November,2,966,TRUE,
Rap Sh!t,Comedy,,HBO,,September,,256,FALSE,
Only Murders in the Building,Comedy,,Hulu,,August,,680,FALSE,
Spy x Family Part 1,Anime,,Hulu,,July,,288,FALSE,
The Bear,Drama,Comedy,Hulu,,July,,249,FALSE,
The Boys,Drama,Action,Amazon,,July,3,496,FALSE,
"Young, Famous & African",Reality,,Netflix,,June,1,280,FALSE,
Bling Empire,Reality,,Netflix,,June,2,1260,FALSE,
One Tree Hill,Drama,,HBO,,May,1,924,TRUE,
The Sex Lives of College Girls,Comedy,,HBO,,April,1,800,TRUE,